Party,Number_Delegates,Number_Overflow_Delegates,Number_Ministers,Number_Ministries/Agencies,Name_Ministry,Contentions
Philippines,247,99,,13,"Department of Environment and Natural Resources,
Department of Foreign Affairs,
Department of Finance,
Department of Health,
Department of Trade and Industry,
Department of the Interior and Local Government,
Department of Science and Technology,
Department of Energy,
Department of Migrant Workers,
Department of Agriculture,
Department of Tourism,
Department of Education,
Department of National Defense",
Poland,62,54,,3,"Ministry of Climate and Environment,
Ministry of Foreign Affairs,
Ministry of Finance",
Portugal ,90,142,,5,"Ministry of Economy and Sea,
Ministery for the Environment and Climate Change,
Ministry of Foreign Affairs,
Ministery for Agriculture,
Ministery of Health",
Qatar,190,120,,7,"Ministry of Environment and Climate Change,
Ministry of Foreign Affairs,
Ministry of Finance,
Ministry of Health,
Ministry of Municipal,
Ministry of Education and Higher Education,
Ministry of Commerce and Industry",
South Korea,113,524,,5,"Ministry of Foreign Affairs,
Ministry of Environment,
Ministry of Trade, Industry and Energy,
Ministry of Economy and Finance,
Ministry of Oceans and Fisheries",
Moldova,10,0,,3,"Ministry of Environemnt,
Ministry of Energy of the Republic of Moldova,
Ministry of Foreign Affairs and European Integration",
Romania,75,0,,5,"Ministry of Environment, Waters and Forests,
Ministry of Energy of Romania,
Ministry of Family, Youth and Equal Opportunities,
Ministry of Transports and Infrastructure,
Ministry of Foreign Affairs",
Russia,452,0,,,,"many fields ""not specified"""
Rwanda,191,0,,,,many acronyms
Saint Kitts and Nevis,42,4,,5,"Foreign Affairs,
Energy,
Ministry of Environment, Climate Action and Constituency Empowerment,
Ministry of Agriculture, Fisheries and Marine Resources,
Ministry of Economic Development",
Saint Lucia,33,0,,2,"Ministry of Education, Sustainable Development, Innovation, Science, Technology and Vocational Training,
Ministry of Finance, Economic Development and the Youth Economy.  Ministry of Justice and National Security",
Saint Vincent and the Grenadines,11,1,,3,"Ministry of Tourism, Civil Aviation, Sustainable Development and Culture,
Ministry of Foreign Affairs,
Ministry of Finance, Economic Planning and Technology",
Samoa,49,2,,4,"Natural Resources and Environment,
Ministry Foreign Affairs,
Ministry of Works, Transport and Infrastructure,
Ministry of Finance",
Sao Tome and Principe,27,0,,3,"Minister of Infrastructure and Natural Resources and Environment,
Ministry of Foreign Affairs,
Ministry of youth and sports",
Saudi Arabia,49,542,,5,"MoEn,
MEWA,
MOFN,
MOAF,
MOC",
Senegal,336,108,,11,"Ministry of Environment and Sustainable Development and Ecological Transition,
Ministère du Pétrole et des Energies,
Ministre de l'Education nationale,
Ministre de la Santé et de l'Action sociale,
Ministère culture et patrimoine historique,
Ministére de l'Economie, du Plan et de la Coopération,
Ministére des Affaires étrangères et des Sénégalais de l'Exterieur,
Ministère de l'Eau et de l'Assainissement,
Ministére de l'urbanisme, du Logement et de l'Hygiène publique,
Ministère des Finances et du Budget,
Ministére de la Communication, des télécommunications et de l'Economie numérique",
Serbia,34,1,,3,"Ministry of Culture,
Ministry of Environmental Protection,
Ministry of Foreign Affairs",
Seychelles,123,0,,9,"Ministry of Agriculture Climate Change and Environment,
Ministry of Transport,
Ministry of Finance Economic Planning and Trade,
Ministry of Land and Housing,
Ministry of Education,
Ministry of Investment Entrepreneurship and Industry,
Ministry of Health,
Ministry of Foreign Affairs and Tourism,
Ministry of Fisheries and Blue Economy
",
Sierra Leone,117,2,,8,"Ministry of Environment and Climate Change,
Ministry of Foreign and International Cooperation,
Ministry of Finance,
Ministry of Planning and Economic Development,
Minister of Health,
Ministry of Water Resources,
Ministry of Agriculture and Food Security,
Ministry of Communication and innovation",
Singapore,60,292,,5,"Ministry of Sustainability and the Environment,
Ministry of Home Affairs,
Ministry of Foreign Affairs,
Ministry of Communications and Information,
Ministry of Transport",
Slovakia,40,12,,2,"Ministry of Environment,
Ministry of Economy",
Slovenia,29,14,,4,"Ministry of the Environment, Climate and Energy,Ministry of Foreign and European Affairs of the Republic of Slovenia,Ministry of Natural Resources and Spatial Planning,Ministry of the Interior of the Republic of Slovenia",
Solomon Islands,53,0,,8,"Ministry of Foreign Affairs and External Trade,
Ministry of Lands, Housing and Survey,
Ministry of Environment, Climate Change, Disaster Management and Meteorology,
Ministry of Mines, Energy and Rural Electrification,
Ministry of Agriculture and Livestock,
Ministry of Finance and Treasury,
Ministry of Fisheries and Marine Resources,
Ministry of Forestry and Research",
Somalia,195,88,,16,"Ministry of Environment and Climate Change,
Ministry of Foreign Affairs and International Cooperation,
Ministry of Finance,
Ministry of Labour and Social Affairs,
Ministry of Planning, Investment and Economic Development,
Ministry of Health,
Ministry of Fisheries and Blue Economy,
Ministry of livestock forest and renge,
Ministery of Energy and Water Resources,
Ministry of Women and Human Rights Development,
Ministry of Health,
Ministry of Agriculture and Irrigation,
Minister of the Ministry of Youth and Sports,
Ministry Of Education, Culture, And Higher Education,
Ministery of Justice,
Ministry of Women and Human Rights Development",
South Africa,131,206,,7,"Department of Forestry, Fisheries and the Environment,
Department of Mineral Resources and Energy,
Department of International Relations and Cooperation,
Department of Mineral Resources,
Department of Transport,
Department of Water and Sanitation,
Department of trade, industry and competition

",
South Sudan,107,4,,13,"Ministry of Presidential Affairs,
Ministry of Cabinet Affairs,
Ministry of Foreign Affairs and International Cooperation,
Ministry of Finance and Planning,
Ministry of Environment and Forestry,
Ministry of Health,
Ministry of Agriculture and Food Security,
Ministry of Water Resources and Irrigation,
Ministry of National Security,
Ministry of Humaniterian Affairs and Disaster Management,
Ministry of General Education and Instruction,
Ministry of Finance and Planning,
Ministry of Wildlife Conservation and Tourism",
Spain,75,140,,2,"Ministerio para la Transición Ecológica y el Reto Demográfico,
Ministerio de Asuntos Exteriores, Unión Europea y Cooperación",
Sri Lanka,66,146,,4,"Ministry of Environment,
Ministry of Foreign Affairs,
Ministry of Power & Energy,
Ministry of Finance
",
Palestine,17,7,,2,"Ministry of Foreign Affairs and Expatriates,
Ministry of Agriculture",
Sudan,23,4,,3,"Higher Council for Environment and Natural Resources,
Ministry of Agriculture,
Ministry of Foreign Affairs",
Suriname,29,0,,3,"Ministry of Spatial Planning and Environment,
Ministry of Foreign Affairs,
Ministry of Agriculture,Husbandry and Fisheries,
",
Sweden,56,189,,4,"Ministry of Climate and Enterprise,
Ministry for Foreign Affairs,
Minstry of rural affairs and infrastructure,
Ministry of Finance",
Switzerland,26,30,,4,"Federal Department of Home Affairs,
Federal Department of the Environment, Transport, Energy and Communications DETEC,
Federal Department of Foreign Affairs,
Federal Department of Economic Affairs, Education and Research,
",
Syria,31,1,,5,"Ministery of Local Administration and Environment,Ministry of Foreign Affaires,Ministry of agricultural,Ministry of defense, Ministry of water Resources",
Tajikistan,115,12,,8,"Ministry of Health of the Republic of Tajikistan,Ministry of foreign Affairs of the Republic of Tajikistan,The ministry of agriculture of Tajikistan,Ministry of Energy and Water resource,The ministry of Industry and Innovative Technologies of Tajikistan,Ministry of Finance of Tajikistan,Ministry of Economic and trade of the Republic of Tajikistan,Ministry of Water Resources of the Republic of Tajikistan,",
Thailand,92,176,,5,"Ministry of Natural Resources and Environment,Ministry of Foreign Affairs,Ministry of Agriculture and Cooperatives,Ministry of Social Development and Human Security,Ministry of Public Health",
Timor-Leste,49,0,,5,"Minister of Health,
Ministry of Foreign Affairs,
MCAE, Ministry of Tourism and Environment,
Ministry of Interior,
Coordinating Ministry for Economic Affairs",
Togo,144,20,,11,"Ministry of environment and forestry resources,
Ministère des Affaires Etrangères, de l'Intégration Régionale et des Togolais de l'Extérieur,
Ministère de l'agriculture, de l'élevage et du développement rural,
Ministère de l'économie numérique et de la transformation digitale,
Ministère chargé de l'Energie et des Mines,
Ministère du commerce, de l'artisanat et de la consommation locale,
Ministère des transports routiers, aériens et ferroviaires,
Ministère de la Santé et de l'Hygiène Publique,
Ministry of Economy and Finance,
Ministère des droits de l'homme,
Ministère de l'Eau et de l'Hydraulique Villageoise",
Tonga,69,0,,4,"Palace Office & Ministry of Foreign Affairs,
Ministry of Agriculture, Food and Forestry,
Ministry of Climate Change,
Ministry of MEIDECC",
Trinidad and Tobago,10,8,,2,"Ministry of Planning and Development,
Ministry of Energy and Energy Industries",
Tunisia,85,90,,11,"Ministry of Foreign Affairs,
Ministry of Environment,
Ministère de la Santé,
Ministère de l'intérieur,
Ministry of agriculture,
Ministère de l'industrie, des mines et de l'énergie,
Ministry of Economy and Planification,
Ministry of Infrastructure,
Ministère de l'enseignement supérieur et de la Recherche scientifique,
Ministry of Finance,
Ministry of Tourism",
Turkey,420,476,,10,"Ministry of Environment Urbanizastion and Climate Change,
Ministry of Infrastructure and Transport,
Ministry of Agriculture and Forestry,
Ministry of Industry and Technology,
Ministry of Foreign Affairs,
Ministry of Energy and Natural Resources,
Ministry of Health,
Ministry of Treasury and Finance,
Ministry of Culture and Tourism,
Ministry of Trade",
Turkmenistan,95,5,,3,"Ministry of Foreign Affairs,
Ministry of Environmental Protection of Turkmenistan,
Ministry of Finance and Economy
",
Tuvalu,31,13,,4,"Minister of Finance,
Ministry of Health, Social Welfare, and Gender Affairs,
Ministry of Education, Youth and Sports,
Ministry of Justice, Communication, and Foreign Affairs,",
Uganda,275,196,,11,"Ministry of Health - Uganda,Ministry of Water and Environment,Ministry of Agriculture Animal Industry and Fisheries,
Ministry of Finance Planning and Economic Development,Ministry of Energy and Minerals Development,
Ministry of Internal Affairs,
Ministry of Foreign Affairs,
Ministry of Agriculture Animal Industry and Fisheries,
Ministry of Lands Housing and Urban Development,Ministry of Local Government,Ministry of Justice and Constitutional Affairs",
Ukraine,55,113,,4,"Ministry of Environmental Protection and Natural Resources,
Ministry of Defence,
Ministry of Foreign Affairs,
Ministry of Energy",
United Arab Emirates,668,3491,,12,"Ministry of Climate Change and Environment,
Ministry of Foreign Affairs,
Ministry of State for Public Education and Advanced Technology,
Ministry of Human Resources and Emiratisation,
Ministry of Defence,
Ministry of Cabinet Affairs,
Ministry of Health and Prevention,
Ministry of Energy and Infrastructure,
Ministry of Investment,
Ministry of Finance,
Ministry of Industry & Advanced Technology,
Ministry of Tolerance & Coexistence
",
United Kingdom,72,602,,5,"Department for Energy Security and Net Zero,
Department for Environment, Food & Rural Affairs,
Department for Education,
Department for Transport,
FCDO",
Tanzania,209,241,,8,"Ministry of Water,Ministry of Agriculture, Tanzania,Ministry of Energy,Ministry of Health,
Ministry of Finance,MFA, Ministry of Natural Resources and Tourism, Ministry of Livestock and Fisheries",
United States,314,525,,13,"U.S. Department of State,U.S. Department of Agriculture (USDA),Environmental Protection Agency,U.S.Department of Commerce - National Oceanic and Atmospheric Administration (NOAA), U.S.Department of Energy, U.S.Department of Defense, U.S. Department of Treasury, U.S.Department of Labor,
U.S.Department of Health and Human Services (HHS),U.S. Department of Housing and Urban Development (HUD), U.S.Department of Transportation, U.S. Agency for International Development (USAID), U.S. Department of Homeland Security",agency vs department
Uruguay,22,11,,5,"Ministry of Environment,
Ministry of Economy and Finance,
Ministry of livestock, agriculture and fishing,
Ministry of Foreign Affairs of Uruguay,
Ministry of Industry, Energy and Mining",
Uzbekistan,267,0,,11,"The Ministry of Tourism and Cultural heritage of the Republic of Uzbekistan,Minister of Foreign Affairs,Ministry of Ecology, Environmental Protection and Climate Change,Ministry of Investment, Industry and Trade of the Republic of Uzbekistan,Ministry of Youth Policy and Sports of the Republic of Uzbekistan, Ministry of Justice, Ministry of Economy and Finance, Republic of Uzbekistan Ministry of water resources of the Republic of Uzbekistan,  Ministry of Energy of the Republic of Uzbekistan, Ministry of Tourism, Ministry of Higher Education, Science and Innovation of the Republic of Uzbekistan, ",
Vanuatu,51,39,,5,"Ministry of Foreign Affaires,
Ministry of Climate Change,
Ministry of Health,
Ministry of Justice,
Ministry of Finance",
Venezuela,32,2,,6,"Ministry of Popular Power for Foreign Affairs,
Ministry of the People's Power for Ecosocialism,
Ministry of Popular Power for Health,
Ministry of Popular Power for Oil,
Ministry of the People's Power  for Interior Relations, Justice and Peace,
Ministry of Popular Power for Communication and Information",
Vietnam,199,117,,15,"Ministry of Labour - Invalids and Social Affairs,
Ministry of Natural Resources and Environment,
Ministry of Health,Ministry of Public Security,Ministry of Information and Communications,Ministry of Planning and Investment,Ministry of Foreign Affairs,Ministry of Industry and Trade,Ministry of Agriculture and Rural Development,
Ministry of Culture, Sports and Tourism,Ministry of National Defence,Ministry of Science and Technology,
Ministry of Transportation, Ministry of Finance,
Ministry of Construction
",
Yemen,88,37,,5,"Ministry of Agriculture and Fish Wealth,
Ministry of Planning and International Cooperation,
Ministry of Finance,
Ministry of Foreign Affairs,
Ministry of Health",
Zambia,187,138,,8,"Foreign Affairs and International Cooperation,
Minstry of Local Government and Rural Development,
Ministry of Health,
Local Development and Rural Development,
Ministry of Green Economy and Environment,
Ministry of Justice,
Ministry of energy,
Ministry of Finance and National Planning",
Zimbabwe,221,49,,10,"Ministry of Lands, Agriculture, Fisheries, Water and Rural Development,
Ministry of Energy and Power Development,
Ministry Of Information Publicity And Broadcasting Services,
Ministry of Women Affairs,
Ministry of Finance and Investment Promotion,
Ministry of Environment, Climate and Wildlife,
Ministry of Foreign Affairs and International Trade,
Ministry of Finance and Economic Development,
Ministry of Local Government and Public Works,
Ministry of Women Affairs, Community, Small and Medium Enterprises Development",
,20204,,,,,
